nEvt,trueE,nPi0,nPiCh,nShowers,maxShowerLength,maxOpenAngle,nTracks,maxTrackLength,nStubs
1,4.61712,0,2,3,62.1179,0.124924,4,474.177,13
2,1.32916,1,1,5,54.9984,0.272745,0,0,3
3,3.09504,1,0,1,141.175,0.172927,3,57.4026,5
4,1.97339,1,1,2,41.2023,0.184722,4,132.434,5
5,2.4283,0,1,2,6.27502,0.137239,3,274.142,2
6,5.1668,1,1,3,8.68333,0.803342,4,249.564,3
7,0.960352,0,1,1,7.79898,0.445083,2,158.057,2
8,0.892112,0,0,1,11.056,0.122083,2,100.676,3
9,1.00928,0,0,0,0,0,4,137.909,3
10,2.14037,0,0,0,0,0,2,65.8938,3
11,1.01914,1,0,2,59.7281,0.0994374,2,32.6589,1
12,2.1674,0,1,0,0,0,6,153.282,7
13,1.35814,1,0,2,67.9978,0.126798,1,13.9465,0
14,1.09136,1,0,0,0,0,1,61.9029,0
15,2.41903,1,0,2,84.3323,0.071156,3,132.617,0
16,3.04094,2,1,5,79.907,0.320442,4,127.932,5
17,1.70431,0,2,1,13.6019,0.139321,3,232.958,14
18,0.982835,0,1,1,5.55033,0.0609704,2,118.122,2
19,1.10243,0,2,3,9.26843,0.305026,4,52.8523,6
20,1.49131,0,1,0,0,0,1,27.2745,2
21,2.56634,0,3,2,8.72961,0.167333,3,16.8686,4
22,5.49197,0,0,1,1.76157,0.272845,2,431.181,4
23,2.81824,1,2,2,23.0836,0.567818,0,0,5
24,2.85876,1,1,0,0,0,1,304.451,0
25,2.03978,0,0,0,0,0,4,183.596,10
26,1.39977,0,3,4,13.7864,0.493579,4,80.3244,9
27,3.37602,0,0,0,0,0,2,122.251,2
28,1.35582,0,3,4,11.3516,0.326919,2,175.793,4
29,1.49798,0,1,1,1.68429,0.533435,2,114.01,11
30,0.924011,0,2,2,1.75999,0.566275,2,124.57,4
31,3.94107,1,1,4,36.9327,0.814147,3,169.156,2
32,1.40556,0,1,1,7.85919,0.267061,1,374.765,2
33,1.28742,0,0,0,0,0,0,0,0
34,3.92891,1,1,3,22.4656,0.336349,2,20.0501,2
35,0.801863,0,1,0,0,0,1,15.9074,2
36,1.98012,1,1,0,0,0,2,93.999,4
37,1.68642,2,0,2,120.007,0.156552,2,408.076,5
